type, province, city, district, name, address, lng, lat
060101,山东省,日照市,东港区,银座商城(日照店),北京路与泰安路交汇158号银座商城五楼,119.521851,35.412929
060102,山东省,日照市,东港区,爱唯尼环球购物广场(装修中),文登路与胶州路交汇处沿街105号楼1-2层,119.543866,35.415369
060102,山东省,日照市,东港区,宇思购物,烟台路202号附近,119.531720,35.414364
060102,山东省,日照市,东港区,百货商场,太公岛三路与碧海路交叉口西150米,119.579389,35.452572
060101,山东省,日照市,东港区,阳光佰思特购物广场,日照北路与望海路交叉口西100米,119.454881,35.426492
060102,山东省,日照市,东港区,莲都购物中心,奎安路20号,119.426917,35.377888
060100,山东省,日照市,东港区,汉唐百货商行,太公岛二路与山海天路交叉口东150米,119.567750,35.448069
060102,山东省,日照市,东港区,莱安福购物广场,海滨三路荣安福购物广场,119.539163,35.392056
060100,山东省,日照市,东港区,Bbfer(日照银座店),泰安路银座商城四楼女装BBFER专柜,119.521974,35.412887
060102,山东省,日照市,东港区,双星名人自选购物广场,335省道东50米,119.353050,35.462958
060101,山东省,日照市,东港区,上海世纪华联购物广场(河山店),204国道东50米,119.511101,35.51993
060102,山东省,日照市,东港区,易捷时代购物中心,三庄镇,119.175990,35.503671
060100,山东省,日照市,东港区,海曲新城商业广场,兴海西路与旭阳路交叉口日照温州城,119.428833,35.418217
060101,山东省,日照市,东港区,荣安福购物广场,海滨三路西侧,119.539193,35.392075
060102,山东省,日照市,东港区,日照苏宁广场,海曲中路18号,119.458596,35.42476
060101,山东省,日照市,东港区,日照华润万象汇,烟台路176号(烟台路与淄博路交汇处),119.532621,35.420586
060100,山东省,日照市,东港区,百优特商城,烟台路80号曲师大四季花园,119.540483,35.446761
060102,山东省,日照市,东港区,海纳商城,黄海一路48号(近海滨五路工商银行),119.529849,35.394655
060102,山东省,日照市,东港区,银座购物广场(日照店),海曲西路155号,119.452364,35.426480
060102,山东省,日照市,东港区,利华商业广场,利华名品商业街与鑫阳街交叉口西50米,119.470017,35.422992
060102,山东省,日照市,东港区,海国明珠地下商城,太公岛三路与碧海路交叉口西150米,119.579313,35.452757
060101,山东省,日照市,东港区,凯德广场,海曲东路288号,119.545251,35.407844
060102,山东省,日照市,东港区,新丰商贸城,山东路169号,119.432035,35.43396
060102,山东省,日照市,东港区,银河商贸城(菏泽路店),菏泽路267号,119.513892,35.420414
060102,山东省,日照市,东港区,日照凌云涛雒购物中心,204国道西50米,119.374593,35.270711
060101,山东省,日照市,东港区,凌云大厦,兴海路109号,119.481098,35.415729
060102,山东省,日照市,东港区,瑞泰国际商城,黄海一路64号,119.540870,35.393526
060101,山东省,日照市,东港区,开泰购物广场(正阳路店),正阳路4号,119.459954,35.432606
060102,山东省,日照市,东港区,日照百货大楼(正阳路),正阳路46号,119.459945,35.425692
060102,山东省,日照市,东港区,凌云购物广场,NA,119.463341,35.427806
060101,山东省,日照市,东港区,天天时尚广场,丽阳路与望海路交叉口西50米,119.460923,35.427186
060102,山东省,日照市,东港区,丽阳大厦,丽阳路与望海路交叉口北100米,119.461349,35.427716
120203|060100,山东省,日照市,东港区,海曲国际C座住宅区,海曲东路56号,119.506167,35.412326
060101,山东省,日照市,东港区,日照凌云两城购物中心,梁乡一路与龙山一路交叉口北150米,119.572153,35.573158
060101,山东省,日照市,东港区,新玛特(烟台路),烟台路279号,119.531818,35.414689
060101,山东省,日照市,东港区,利群集团日照购物广场,海曲中路76号,119.470946,35.423718
060301,山东省,日照市,东港区,日照凌云家电城,兴海路与昭阳路交叉口西100米,119.480482,35.414954
060306,山东省,日照市,东港区,美声电子科技(海滨五路),海滨五路046号电厂家属区西门南沿街,119.533100,35.390659
060304,山东省,日照市,东港区,苏宁易购(石臼店),黄海一路44号,119.531969,35.393772
060305|071200,山东省,日照市,东港区,交通通讯,正阳路与海曲中路交叉口南150米,119.459852,35.424293
060306,山东省,日照市,东港区,戴尔(日照京海店),黄海一路港口医院东侧,119.540118,35.393887
060305,山东省,日照市,东港区,中国联通(兖州路合作厅),秦楼街道兖州路儒房地产东北100米,119.498503,35.430352
060306,山东省,日照市,东港区,昌立电脑,正阳路102号1楼,119.459817,35.421293
060305,山东省,日照市,东港区,中国移动(昭阳路店),昭阳路36号,119.482709,35.416940
060305,山东省,日照市,东港区,利华通信,海曲中路76号利华商业街利华明珠小区西门对面,119.470123,35.422919
060306,山东省,日照市,东港区,电子科技城B区(入口),北京路207号,119.522220,35.412197
060305,山东省,日照市,东港区,恒亚通讯(日照北路),日照北路42号附近(华侨大酒店南100米路东),119.459097,35.435726
060301,山东省,日照市,东港区,爱普电器,海滨二路72,119.548995,35.397240
060306,山东省,日照市,东港区,联想(舒斯贝尔商业街专卖店),舒斯贝尔商业街3号,119.465816,35.428043
060304,山东省,日照市,东港区,苏宁易购,烟台路176号附近,119.532621,35.420586
060305,山东省,日照市,东港区,中国移动手机专卖店,天津路与海滨二路交叉口旁,119.548473,35.390610
060306,山东省,日照市,东港区,金诺电脑(正阳路),正阳路58号,119.459823,35.423585
060300,山东省,日照市,东港区,惠购手机,大学城四季花园惠购超市入口内,119.540038,35.446734
060300,山东省,日照市,东港区,古城合作厅,海安路北50米,119.397680,35.423773
060300,山东省,日照市,东港区,格力电器全国4S专卖店,海曲东路15附近,119.488068,35.419491
060305,山东省,日照市,东港区,中国移动手机专卖店,日照南路与福海路交叉口东北150米,119.454387,35.423904
060306,山东省,日照市,东港区,索尼(日照北京路店),王府大街C1-1-3号,119.522168,35.411215
060306,山东省,日照市,东港区,七七科技,正阳路47号太阳城西大门对面,119.459423,35.428986
060300,山东省,日照市,东港区,星源电器(西海路),西海路105号,119.458920,35.430439
060300,山东省,日照市,东港区,格力(郑州路),兴业富贵园商铺1-07号,119.517984,35.392780
060306,山东省,日照市,东港区,联想(海曲中路专卖店),海曲中路瑞园名城c座商务楼(德泰大酒店对面),119.483618,35.421123
060301,山东省,日照市,东港区,华通电器(日照北路),日照北路110号,119.456148,35.427537
060305,山东省,日照市,东港区,新市区手机广场,北京路201号,119.522404,35.415441
060300,山东省,日照市,东港区,志高空调,百货大楼山东中路日照开泰购物广场,119.459887,35.432934
060300,山东省,日照市,东港区,讯诺手机大卖场,丽阳路3号东港区政府西侧(雪娃咖啡对过),119.461310,35.425770
060306,山东省,日照市,东港区,美萍收银管理软件,枣庄路与泰安路交汇处北50米路东丽水花园大门北10米,119.517403,35.414772
060300,山东省,日照市,东港区,格力中央空调体验馆,海曲东路66号中铁十四局沿街,119.509184,35.411432
060306,山东省,日照市,东港区,日照金源电脑有限公司,福海路125号附近,119.458760,35.422338
060300,山东省,日照市,东港区,安迅电脑,福海路137号,119.459201,35.422283
060300,山东省,日照市,东港区,日照惠群美的空调,枣庄路山东路交会处南侧50米(聚泰酒店南),119.518370,35.432349
060306,山东省,日照市,东港区,邦力电脑,海曲西路101号,119.437088,35.425758
060306,山东省,日照市,东港区,龙浩电脑(兴海路),兴海路85号兴海l路与公园路交汇处路西30米路北2楼,119.472212,35.418347
