type, province, city, district, name, address, lng, lat
060305,河北省,廊坊市,安次区,中国移动(昊宇授权店),码杨线东50米,116.835294,39.198117
060301,河北省,廊坊市,安次区,九州金哲电器(杨税务店),廊霸线附近,116.683831,39.470295
060305,河北省,廊坊市,安次区,中国联通4G智能手机卖场,爱民西道南50米,116.660902,39.521208
060305,河北省,廊坊市,安次区,晨苏通信,爱民西道81-1号,116.677412,39.522571
060305,河北省,廊坊市,安次区,智锋通讯,辛庄道四季花语小区5块地2号楼1单元107,116.715692,39.501324
060305,河北省,廊坊市,安次区,瑞家通讯,龙河盛都小区南门,116.712890,39.494165
060305,河北省,廊坊市,安次区,OPPO(葛渔城店),葛渔城西街村,116.840007,39.248929
060305,河北省,廊坊市,安次区,望海通讯,码杨线东50米,116.835475,39.197081
060305,河北省,廊坊市,安次区,龙河通讯,龙河盛都10号楼底商104,116.713145,39.496341
060305,河北省,廊坊市,安次区,人人通讯,常甫路与广安里交叉口南150米,116.707996,39.502305
060300,河北省,廊坊市,安次区,格力电器4S专卖店,光明西道第九园,116.657616,39.525815
060305,河北省,廊坊市,安次区,中国移动(邮政局指定专营店),爱民西道65号附近,116.679103,39.522681
060305,河北省,廊坊市,安次区,世豪通讯,北史家务乡龙河工业园富士康城2号楼1单元1-110号(一笑堂右边),116.722484,39.479703
060305,河北省,廊坊市,安次区,中国联通4G智能手机卖场,廊霸路111号,116.684074,39.469776
060300,河北省,廊坊市,安次区,建民电器,西宁道西口东200米左右,116.685062,39.515888
060300,河北省,廊坊市,安次区,承诺电器,春意路与西宁道交叉口西100米,116.687081,39.516115
060300,河北省,廊坊市,安次区,三星中央空调,红星美凯龙全球家居生活广场东南,116.701349,39.490308
060300,河北省,廊坊市,安次区,达众家电,北史家务乡富康道恒大名都西北250米,116.729556,39.486567
060300,河北省,廊坊市,安次区,永江电器,永华道街道永华西道小王庄小学对面,116.687667,39.504354
060300,河北省,廊坊市,安次区,格兰仕电器批发零售,廊霸线西50米,116.684070,39.470703
060300,河北省,廊坊市,安次区,美的空调专卖店,常宁路与瑞丰道交叉口东100米,116.715655,39.497455
060300,河北省,廊坊市,安次区,隆福美的厨卫专卖店,银河南路290号,116.697592,39.489482
060300,河北省,廊坊市,安次区,美的中央空调,南龙道与银河南路交叉口东南150米,116.698586,39.490122
060301,河北省,廊坊市,安次区,华龙电器,津同公路与709县道交叉口北100米,116.838267,39.175608
060305,河北省,廊坊市,安次区,中国移动(爱民西道恒辉店),孝廉街南50米,116.656893,39.523427
060300,河北省,廊坊市,安次区,格力(银河南路),银河大桥南100米路东,116.704143,39.501528
060300,河北省,廊坊市,安次区,松下新风系统体验中心,南龙道红星美凯龙1层,116.698475,39.490746
060300,河北省,廊坊市,安次区,久金炉具,昌盛里与永兴路交叉口西南200米,116.686770,39.495513
060300,河北省,廊坊市,安次区,新铭手机卖场,中孟北路东50米,116.737401,39.489200
060300,河北省,廊坊市,安次区,顺鑫电器,银河南路兴安市场西栋13号,116.696927,39.508531
060300,河北省,廊坊市,安次区,利云家电,银河南路兴安市场8栋,116.697616,39.508304
060300,河北省,廊坊市,安次区,宗印电子批发,兴安市场十四栋9号,116.696541,39.508369
060300,河北省,廊坊市,安次区,恒发电器,兴安市场14栋12号,116.696408,39.508360
060300,河北省,廊坊市,安次区,康佳电视,银河南路红星美凯龙二楼,116.698507,39.490796
060300,河北省,廊坊市,安次区,格力(创新里南小区东北),银河南路豪邸坊南,116.699210,39.510785
060300,河北省,廊坊市,安次区,五金百货电器,北史家务乡富康道恒大名都西北200米,116.731204,39.487346
060300,河北省,廊坊市,安次区,宏达电器,东沽港镇112国道宏达购物中心南250米,116.838229,39.172592
060300,河北省,廊坊市,安次区,朝晖电脑,杨税务乡政府北行100米路西,116.681852,39.467694
060300,河北省,廊坊市,安次区,全网通手机卖场,祁营村团结印刷楼下,116.804222,39.327023
060300,河北省,廊坊市,安次区,美的专卖店,葛渔城镇街心附近,116.842451,39.249259
060305,河北省,廊坊市,安次区,中国电信天翼互联网手机卖场,育英路与金光西道交叉口东100米,116.672990,39.517505
060300,河北省,廊坊市,安次区,文杰电器,大北尹支线与杨尹线交叉口东50米,116.699814,39.385956
060305,河北省,廊坊市,安次区,中国移动,常宁路与瑞丰道交叉口东150米附近,116.715585,39.497502
060300,河北省,廊坊市,安次区,海尔中央空调(建设南路),建设南路201号,116.720218,39.496169
060305,河北省,廊坊市,安次区,中国联通4G+智能手机卖场,光明西道与光祖路交叉口西100米,116.674205,39.512427
060300,河北省,廊坊市,安次区,鑫缘电器,葛马线与410乡道交叉口北100米,116.782204,39.224591
060300,河北省,廊坊市,安次区,明珠电器,东沽港镇112国道宏达购物中心南250米,116.838253,39.172575
060301,河北省,廊坊市,安次区,巧芳电器,银河南路16号,116.698279,39.508516
060300,河北省,廊坊市,安次区,小不点汽车电器,津同公路与第五街交叉口东北50米,116.834696,39.174339
060300,河北省,廊坊市,安次区,腾虎电脑,马家口村,116.783408,39.165857
060300,河北省,廊坊市,安次区,中国移动通信手机专卖店,永兴路64号,116.683293,39.518494
060305,河北省,廊坊市,安次区,中国移动(永华西道指定专营店),永华西道160-6号,116.697880,39.502132
060305,河北省,廊坊市,安次区,OPPO,会员名居东区,116.698006,39.507166
060300,河北省,廊坊市,安次区,大中电器(码头镇店),码头镇码杨线大中电器,116.773710,39.302593
060305,河北省,廊坊市,安次区,OPPO,燕郊经济技术开发区步行街北头金利福珠宝对面,116.697296,39.502148
060305,河北省,廊坊市,安次区,OPPO,廊霸线东50米,116.697681,39.479605
060305,河北省,廊坊市,安次区,中国移动手机专卖店(益盈店),光明西道与常青路交叉口北200米,116.692145,39.514735
060305,河北省,廊坊市,安次区,OPPO,S273(廊霸线),116.682188,39.469156
060305,河北省,廊坊市,安次区,天翼,中孟北路东50米,116.737401,39.489200
060305,河北省,廊坊市,安次区,大辉手机卖场,春辉里与金光道交叉口东150米,116.687542,39.518524
060300,河北省,廊坊市,安次区,美的(廊坊东沽港专卖店),码杨线附近,116.838366,39.175948
060300,河北省,廊坊市,安次区,铭尚净化新风空气净化体验店,南龙道与银河南路交叉口东南200米,116.698967,39.490004
060305,河北省,廊坊市,安次区,中国移动(大家新城东),杨税务乡北小营村大家新城小区对面,116.700994,39.479293
060305,河北省,廊坊市,安次区,vivo,码杨线西50米,116.835161,39.197381
060306,河北省,廊坊市,安次区,1995同乐电子,新安胡同与顺安道交叉口东南50米,116.702937,39.507687
060305,河北省,廊坊市,安次区,中国移动通信手机专卖店(汇源名居龙翔店),光明西道北侧光明家具城东侧,116.695204,39.513073
060300,河北省,廊坊市,安次区,苏美电器,码杨线码头镇济南屯小学西南250米,116.765708,39.322294
060305,河北省,廊坊市,安次区,OPPO授权体验店(廊坊安次龙腾路店),龙腾路24号,116.723062,39.479099
060306,河北省,廊坊市,安次区,Apple,龙腾路西150米,116.721849,39.477890
060306,河北省,廊坊市,安次区,简e科技,东高线,116.818743,39.327033
060305,河北省,廊坊市,安次区,中国移动(爱民西道友信店),爱民西道139号附近,116.667850,39.521782
060306,河北省,廊坊市,安次区,金旺电脑科技,杨税务乡民主村廊霸路北侧,116.676645,39.465243
060306,河北省,廊坊市,安次区,金鹏电脑中心,码杨线东50米,116.768131,39.304229
060306,河北省,廊坊市,安次区,联想电脑商城(葛渔城授权店),NA,116.844572,39.249429
060306,河北省,廊坊市,安次区,鸿诚电脑监控,NA,116.846600,39.249653
060306,河北省,廊坊市,安次区,联想(东沽镇授权店),津同公路与709县道交叉口南150米,116.838102,39.173386
060306,河北省,廊坊市,安次区,先成电脑,东沽港镇112国道宏达购物中心南200米,116.838462,39.172671
060306,河北省,廊坊市,安次区,瑞祥电脑,东沽港镇四街,116.838486,39.172000
060306,河北省,廊坊市,安次区,鑫伟电脑手机,廊霸线(亮点灯饰窗帘城旁),116.684391,39.470705
060306,河北省,廊坊市,安次区,星亚电脑,连庄子村,116.750961,39.481425
060300,河北省,廊坊市,安次区,大中电器(红星美凯龙店),南龙道33号红星美凯龙2楼,116.698507,39.490796
060300,河北省,廊坊市,安次区,海尔专卖店(葛渔城店),葛马线葛渔城客运站东250米,116.837111,39.248564
060400,河北省,廊坊市,安次区,明珠超市(兴安店),银河南路118号,116.697738,39.505691
060400,河北省,廊坊市,安次区,海华超市(金光西道),永兴小区甲5号,116.681858,39.518309
060400,河北省,廊坊市,安次区,世纪华联超市,葛渔城镇街心附近,116.843130,39.249530
060400,河北省,廊坊市,安次区,元辰超市(北昌店),爱民西道38-64号,116.678943,39.523078
060400,河北省,廊坊市,安次区,华宇超市(永华道),永华道96号,116.700624,39.504208
060400,河北省,廊坊市,安次区,万家福超市,津同公路附近,116.792700,39.158759
060400,河北省,廊坊市,安次区,世纪华联批发超市(祖各庄分店),北史家务乡祖各庄村15号,116.678520,39.502100
060400,河北省,廊坊市,安次区,京隆佳美超市,北史家务乡西孟各庄村村委会,116.730627,39.487314
060400,河北省,廊坊市,安次区,旭源超市(荣开街),丽舍小区7,116.657945,39.524797
060400,河北省,廊坊市,安次区,金苹果超市(永兴店),永兴小区甲2号,116.683214,39.517867
060400,河北省,廊坊市,安次区,恩慧超市,永兴路88-114号,116.686006,39.507054
060400,河北省,廊坊市,安次区,建鹏超市(永兴路),永兴路116号,116.685005,39.509681
060400,河北省,廊坊市,安次区,联华超市(常甫路店),常甫路35号,116.707676,39.505550
060400,河北省,廊坊市,安次区,联合购物中心,龙河园区普照营村,116.746949,39.459084
060400,河北省,廊坊市,安次区,鑫旺达超市,恒康街南50米,116.655965,39.528545
060400,河北省,廊坊市,安次区,三信超市,葛渔城镇西街村,116.841365,39.248943
060400,河北省,廊坊市,安次区,吉吉吉超市,常青路10号,116.692110,39.514949
060400,河北省,廊坊市,安次区,玲玲超市,于常甫银丰家园,116.699994,39.482202
060400,河北省,廊坊市,安次区,联美生活超市(常青路店),光明西道一中学校东100米,116.692623,39.512923
060400,河北省,廊坊市,安次区,悦嘉超市(盛德店),永华道131-16号,116.691087,39.504236
060400,河北省,廊坊市,安次区,博爱超市(永华道),常甫路22号,116.710610,39.505027
060400,河北省,廊坊市,安次区,兴旺批发超市,廊霸线A-18号附近,116.687092,39.472551
060400,河北省,廊坊市,安次区,世纪华联超市(安锦道店),工业园区,116.663040,39.483870
060400,河北省,廊坊市,安次区,世纪家家福超市(码头店),码头镇码头村十字路口,116.776001,39.300049
060400,河北省,廊坊市,安次区,好达隆超市,瑞丰道附近,116.716130,39.497436
060400,河北省,廊坊市,安次区,冠胜超市,码杨线西50米,116.835948,39.203670
060400,河北省,廊坊市,安次区,福玛特购物中心,南龙道龙河盛都18号楼,116.712830,39.494217
060400,河北省,廊坊市,安次区,众新自选超市,码杨线德莉金KTV旁,116.843498,39.173425
060400,河北省,廊坊市,安次区,然庆批发超市,津同公路智胜菜店旁,116.838562,39.170476
