type, province, city, district, name, address, lng, lat
060101,河南省,焦作市,解放区,大舞台购物中心,新华中街158号,113.226773,35.240271
060102,河南省,焦作市,解放区,百货大楼,建设西路中房开发4号,113.211006,35.223175
060102,河南省,焦作市,解放区,百货大楼(丰泽园店),丰泽园小区院内,113.243895,35.211291
060102,河南省,焦作市,解放区,百货大楼(美中城店),美中城小区8号886商铺,113.237545,35.209330
060100,河南省,焦作市,解放区,农枝花生活馆,自力西街3号附近,113.219127,35.240064
060102,河南省,焦作市,解放区,百货大楼,太行中路市政综合楼2单元1楼门面房,113.235092,35.250347
060101,河南省,焦作市,解放区,春天购物广场,解放中路,113.227783,35.240112
060101,河南省,焦作市,解放区,万达广场,丰收路与民主南路交叉口东南150米,113.239132,35.204437
060100,河南省,焦作市,解放区,锦江商业广场,人民路与民主南路交叉口东北100米,113.237810,35.212639
060102,河南省,焦作市,解放区,光彩商贸城,和平街与步行街交叉口东北50米,113.229875,35.239163
060101,河南省,焦作市,解放区,王府井百货(民主南路),人民路669号,113.237229,35.212824
060101,河南省,焦作市,解放区,三维商业广场,解放中路908号,113.230435,35.241406
060102,河南省,焦作市,解放区,大丰商城,站前路818号,113.236198,35.224006
060102,河南省,焦作市,解放区,千盛生活广场(解放中路),解放中路恒基财富大厦东座,113.224571,35.241973
060102,河南省,焦作市,解放区,焦作贸易大厦,解放中路892号,113.228607,35.241542
060102,河南省,焦作市,解放区,新亚商厦,解放中路8号近贸易大厦,113.229121,35.242592
060102,河南省,焦作市,解放区,恒兴商厦,解放中路892号焦作贸易大厦,113.22859,35.241855
060103,河南省,焦作市,解放区,进口商品保税店,站前路22号附近,113.236673,35.224668
060101,河南省,焦作市,解放区,景文百货购物中心,和平中街86号,113.233902,35.239108
060102,河南省,焦作市,解放区,百货大楼,民生街道解放中路1015号,113.231541,35.243035
060304,河南省,焦作市,解放区,苏宁易购(三维店),解放中路908号三维商业广场,113.230390,35.241256
060306,河南省,焦作市,解放区,恒基数码广场,解放中路恒基财富大厦d东座B1层,113.224098,35.241779
060301,河南省,焦作市,解放区,百货大楼家电超市(解放中路),民主路,113.233451,35.243028
060300,河南省,焦作市,解放区,美的净水机(焦作总店),烈士街599号,113.226509,35.236917
060300,河南省,焦作市,解放区,格力(建设中路店),建设中路676号,113.230214,35.230528
060300,河南省,焦作市,解放区,君悦音响(解放中路),解放中路万方科技学院二号教学楼附近,113.233017,35.242468
060305,河南省,焦作市,解放区,百货大楼手机数码城,解放中路151号,113.232238,35.242813
060301,河南省,焦作市,解放区,正和生活电器,建设西路好妈妈家常菜西边,113.231039,35.230788
060301,河南省,焦作市,解放区,永春电器商行,南通路28号,113.221424,35.218857
060301,河南省,焦作市,解放区,五星电器(焦作景文店),和平中街86号景文百货购物中心F1层,113.233939,35.238852
060300,河南省,焦作市,解放区,奥克斯(烈士街),烈士街1号楼3号,113.229576,35.236194
