type, province, city, district, name, address, lng, lat
060100,河北省,承德市,双桥区,万氏留香,东环路兴盛丽水二期福满家超市1楼,117.952578,40.992497
060102,河北省,承德市,双桥区,天乐商场,上二道河子医学院内,117.957873,41.031233
060102,河北省,承德市,双桥区,金龙购物广场,都统府大街18号,117.943944,40.980831
060101,河北省,承德市,双桥区,世纪城购物中心,府前路东50米,117.965839,40.952889
060101,河北省,承德市,双桥区,承德金龙城市广场,都统府大街1号,117.944224,40.979168
060102|060101,河北省,承德市,双桥区,佳佳购物,新兴街1号,117.940250,40.972176
060102,河北省,承德市,双桥区,尚品宅配(承德嘉和广场店),桥东街道迎宾路21号嘉和广场C座底商,117.963517,40.944749
060102,河北省,承德市,双桥区,富华商贸城(石洞子沟路),富华山庄0号楼,117.927126,40.971129
060102,河北省,承德市,双桥区,宽广生活广场,迎宾路21号嘉和广场A座12层,117.963467,40.944897
060100,河北省,承德市,双桥区,乐淘购物中心,奥体中心11号,117.956780,40.896588
060101,河北省,承德市,双桥区,广安购物中心,南营子大街30号-3,117.936913,40.971672
060101,河北省,承德市,双桥区,山庄宾馆-购物中心,丽正门大街11号,117.942520,40.981011
060101,河北省,承德市,双桥区,白楼宾馆-购物中心,开发西区京承公路28号白楼宾馆1层,117.952808,40.921381
060101,河北省,承德市,双桥区,金龙城市购物广场,南兴隆街与都统府大街交叉口东50米,117.944203,40.979165
060102,河北省,承德市,双桥区,新一百百货大楼,南营子大街30-8号,117.937268,40.973064
060101,河北省,承德市,双桥区,名都广场(马市街),火神庙二仙居步行西街,117.936051,40.97918
060100,河北省,承德市,双桥区,赵姐乾源商场,裕华路肃顺府负一层,117.939064,40.971710
060101,河北省,承德市,双桥区,双百购物广场,新华路北1号楼,117.941255,40.970033
060102,河北省,承德市,双桥区,动感淘宝购物,裕华路2号楼号淘宝购物一层,117.938972,40.971149
060100,河北省,承德市,双桥区,裕华淘宝购物广场,新生路与裕华路交叉口西北100米,117.940361,40.970951
060102,河北省,承德市,双桥区,雪亮广场,南营子大街20,117.936834,40.974803
060100,河北省,承德市,双桥区,东兴商贸城,东兴路25号,117.940043,40.974096
060102,河北省,承德市,双桥区,德汇大厦,南营子大街2号,117.937388,40.979333
060102,河北省,承德市,双桥区,承德商城,南营子大街,117.937886,40.974411
060102,河北省,承德市,双桥区,承德商厦,南营子大街123号南区40-7号,117.936839,40.977084
060102,河北省,承德市,双桥区,永兴商业中心,南营子大街21号永兴大厦,117.937413,40.971912
060300,河北省,承德市,双桥区,华夏制冷店,西大街10-5号,117.934745,40.982133
060306,河北省,承德市,双桥区,硅谷电子城,南营子大街16号文化大厦,117.936614,40.975788
060305,河北省,承德市,双桥区,博大通讯(摩登达移动店),南营子大街永兴大厦102号、279号底商,117.938154,40.978773
060306,河北省,承德市,双桥区,联想(佟温路专卖店),佟温路6号,117.935551,40.973362
060300,河北省,承德市,双桥区,苏泊尔生活馆(承德店),万华小区A区3号楼105底商,117.929851,40.980456
060301,河北省,承德市,双桥区,国大通用电器,南营子大街16号文化大厦2层,117.936614,40.975788
060305|070601,河北省,承德市,双桥区,中国电信(车站路营业厅),车站路福隆小区底商,117.956611,40.962541
060301,河北省,承德市,双桥区,国大精品店,南营子大街16号,117.936832,40.975522
060306,河北省,承德市,双桥区,文博电脑城(南营子大街),南营子大街16号文化大厦4层,117.936614,40.975788
060300,河北省,承德市,双桥区,博联电器(都统府大街),南营子大街1号热河大厦3层,117.938667,40.978870
060300,河北省,承德市,双桥区,格力电器(热河大厦),南营子大街1号热河大厦2层,117.938616,40.978754
060300,河北省,承德市,双桥区,裕华路日杂,中兴路与裕华路交叉口东北50米,117.938801,40.970816
060300,河北省,承德市,双桥区,百脑汇电脑,南营子大街1号热河大厦,117.938540,40.978830
060300,河北省,承德市,双桥区,瑞英手机大卖场,种子路西50米,117.949249,40.904421
060301,河北省,承德市,双桥区,海尔电器(种子路),种子路西50米,117.949256,40.904872
060300,河北省,承德市,双桥区,红苹果电子照明,牛圈子沟镇长安小区11号楼,117.938903,40.958689
060305,河北省,承德市,双桥区,百盛手机(旗舰店),火神庙都统府大街东大街一号,117.939017,40.980096
060300,河北省,承德市,双桥区,贝利尔电器,车站路50-9,117.966469,40.956923
060300,河北省,承德市,双桥区,鸿雁电气,常王府街与广仁大街交叉口东南100米,117.927982,40.983695
060300,河北省,承德市,双桥区,承德信大美的专卖店,普乐南路武阳花园小区8号楼底商,117.949017,40.962662
060300,河北省,承德市,双桥区,美的(潘塔路),万华小区A区104底商,117.929918,40.980469
060300,河北省,承德市,双桥区,格力(潘塔路),万华小区3,117.929703,40.980433
060300,河北省,承德市,双桥区,海尔专卖店,南营子大街1号热河大厦2层,117.935377,40.980395
060300,河北省,承德市,双桥区,格力(车站路),车站路241号,117.948757,40.966119
060300,河北省,承德市,双桥区,福倚生水家电,双柳小区11号底商,117.927950,40.983418
060300,河北省,承德市,双桥区,正泰电器,头道牌楼街道西大街美风小区2号楼商业,117.918893,40.989305
060300,河北省,承德市,双桥区,国华电器(大佟沟街),南营子大街16号文化大厦2层,117.936832,40.975805
060300,河北省,承德市,双桥区,通圣电器,车站路中居宅24号楼底商,117.957290,40.962601
060305,河北省,承德市,双桥区,天通(文化大厦店),南营子大街14号文化大厦1层,117.936832,40.975732
060301,河北省,承德市,双桥区,普利电器,外环路北50米,117.899168,41.014110
060300,河北省,承德市,双桥区,龙海电子,南园路31号附近,117.941135,40.962965
060306,河北省,承德市,双桥区,致胜电脑,南园路与桃李街交叉口西100米,117.938613,40.962883
060300,河北省,承德市,双桥区,四方通讯手机专卖,丽正门大街14号,117.938953,40.980661
060301,河北省,承德市,双桥区,荣华灯具家电批发城,南营子大街16号文化大厦1层后厅,117.936614,40.975788
060300,河北省,承德市,双桥区,暴风TV,丽正门大街与小溪街交叉口西南100米,117.939142,40.980222
060300,河北省,承德市,双桥区,尚朋堂厨房电器,石洞子沟路55号附近,117.926710,40.970969
060300,河北省,承德市,双桥区,大钟电器,南营子大街,117.938307,40.979086
060305,河北省,承德市,双桥区,腾龙手机(文化店),南营子大街16-6号文化大厦,117.936845,40.975938
060305,河北省,承德市,双桥区,中国移动(机场路),桥东街道世纪城一期,117.962679,40.957883
060306,河北省,承德市,双桥区,金桥科技,车站路357号,117.959428,40.961644
060300,河北省,承德市,双桥区,扬子空调,小榛子沟路与广仁大街交叉口南150米,117.924043,40.985821
060300,河北省,承德市,双桥区,电缆电器,下营房大街东100米,117.904602,40.991672
060300,河北省,承德市,双桥区,智能手机卖场,车站路32-19号附近,117.956620,40.962549
060300,河北省,承德市,双桥区,Letv乐视体验店,南营子大街中心广场摩登达家具广场负一层A1号,117.937521,40.975860
060300,河北省,承德市,双桥区,瑞瑛手机大卖场,冯营子镇阳光四季城梧桐苑底商,117.971676,40.890913
