type, province, city, district, name, address, lng, lat
060101,安徽省,黄山市,屯溪区,太平洋购物中心,西海路18号,118.290638,29.706393
060101,安徽省,黄山市,屯溪区,百大名品中心,新安北路23号黄山百大商厦五楼,118.312721,29.709235
060102,安徽省,黄山市,屯溪区,银街黄山路地下商业街,新安北路与黄山西路交叉口东北50米,118.313604,29.709877
060102,安徽省,黄山市,屯溪区,湖边商城,牌坊前路8号屯浦阳光4幢8-58-6,118.344979,29.724418
060101,安徽省,黄山市,屯溪区,天盈购物中心,天都大道东100米,118.337131,29.721048
060100,安徽省,黄山市,屯溪区,佰松商城(皖南运营中心),北海路30号,118.320144,29.720243
060102,安徽省,黄山市,屯溪区,黄山旅游商贸城,昱城路6-1c3,118.312100,29.708990
060102,安徽省,黄山市,屯溪区,天禄商城,黄山西路76-6号,118.324745,29.715074
060102,安徽省,黄山市,屯溪区,万和精品广场,黄山西路49-22号,118.321523,29.714018
060102,安徽省,黄山市,屯溪区,黄山百大商厦,新安北路23号,118.312858,29.709081
060304,安徽省,黄山市,屯溪区,苏宁易购(延安路店),延安路89号新安商厦综合楼,118.312248,29.710699
060300,安徽省,黄山市,屯溪区,美的(阳湖路旗舰店),新安大道与阳湖路交叉口东南100米,118.313229,29.700921
060300,安徽省,黄山市,屯溪区,格力(黄山西路),黄山西路38之31-32号,118.319099,29.711954
060300,安徽省,黄山市,屯溪区,美的厨卫专卖(长干东路店),长干东路141-7号,118.323698,29.707854
060305,安徽省,黄山市,屯溪区,蜂星电子,延安路89-1号,118.311412,29.710431
060305,安徽省,黄山市,屯溪区,中国移动(阜上路),荷花东路与阜上路交叉口北100米,118.327234,29.720875
060300,安徽省,黄山市,屯溪区,海尔专卖店,昱东街道安东路242号,118.335707,29.714001
060305,安徽省,黄山市,屯溪区,中国移动(宏宇移动业务指定专营店),戴震路13-4号,118.293405,29.711817
060300,安徽省,黄山市,屯溪区,樱花卫厨(黄山专卖店),长干中路49-10号,118.324629,29.708021
070601|060305,安徽省,黄山市,屯溪区,中国电信(黄山东路营业厅),黄山东路77号(近黄山东路天翼手机卖场),118.327949,29.717523
060305,安徽省,黄山市,屯溪区,中国移动(恒达江南新城代理店),紫藤阁21幢106室,118.327089,29.696009
