type, province, city, district, name, address, lng, lat
060102,安徽省,合肥市,瑶海区,世茂商城,站前路与胜利路交叉口西100米,117.314539,31.883049
060101,安徽省,合肥市,瑶海区,合家福购物广场,前江路与文忠路交叉,117.377778,31.934609
060102,安徽省,合肥市,瑶海区,国购·京商商贸城,淮海大道与陶冲湖路交叉口南90米,117.330686,31.937138
060100,安徽省,合肥市,瑶海区,华源生活广场1区,和平路98号附近,117.332945,31.854509
060100,安徽省,合肥市,瑶海区,国购·京商商贸城(建设中),铜陵北路与淮海大道交叉口,117.344068,31.931934
060100,安徽省,合肥市,瑶海区,华源生活广场2区,东二环路与和平路交叉口西北150米,117.333997,31.854356
060101,安徽省,合肥市,瑶海区,合肥保利广场,新安江路和郎溪路交汇处,117.359493,31.858419
060102,安徽省,合肥市,瑶海区,新火车站广场,新洪安路与站前路交叉口东北100米,117.317353,31.883092
060102,安徽省,合肥市,瑶海区,家天下生活广场,铜陵北路与扶疏路交汇处,117.325406,31.89546
060102|061100,安徽省,合肥市,瑶海区,白马服装城3期,站前路安徽白马服装城二期西侧,117.311193,31.885240
060101,安徽省,合肥市,瑶海区,温莎国际广场,胜利路196号,117.308901,31.874534
060102,安徽省,合肥市,瑶海区,五洲商城,站前路,117.312168,31.882243
060100,安徽省,合肥市,瑶海区,艾尔顿,长淮街道站前路白马二期五楼南527号,117.312974,31.884010
060102,安徽省,合肥市,瑶海区,合家福新站购物广场(临泉东路店),临泉路3368号,117.336076,31.876603
060100,安徽省,合肥市,瑶海区,东城商厦,胜利路街道长江东路1121号,117.302479,31.864004
060101,安徽省,合肥市,瑶海区,太阳城·莱迪广场,胜利路66号,117.304636,31.868816
060100,安徽省,合肥市,瑶海区,张四百货,站前路20号附近,117.311119,31.885212
060100,安徽省,合肥市,瑶海区,中绿广场商场入口(西口),站前路62号附近,117.320434,31.881776
060102,安徽省,合肥市,瑶海区,宝业东城广场地下商业街,东二环路西50米,117.337536,31.871272
060102,安徽省,合肥市,瑶海区,白马万商服饰广场,合肥火车站对面,117.314539,31.883051
060101,安徽省,合肥市,瑶海区,瑶海万达广场,临泉东路与和县路交叉口,117.349564,31.87735
060102,安徽省,合肥市,瑶海区,城隍庙馥邦商城,物流大道与铜陵北路交叉口馥邦广场综合楼,117.327519,31.900836
060100,安徽省,合肥市,瑶海区,宝业·东城广场E区,长江东路506号附近,117.337230,31.869230
060100,安徽省,合肥市,瑶海区,宝业·东城广场C区,东二环路299号附近,117.337841,31.869467
060101,安徽省,合肥市,瑶海区,宝业·东城广场D区,长江东路504号,117.337835,31.870227
060102,安徽省,合肥市,瑶海区,衣之家百货,长江东路宝业东城广场1-3层,117.336528,31.871585
060100,安徽省,合肥市,瑶海区,新长江商业广场,长江东路85号长江批发市场2楼,117.363926,31.865866
060102,安徽省,合肥市,瑶海区,隆岗不夜城,铜陵路与滨河路交口向东100米,117.320572,31.847882
060100,安徽省,合肥市,瑶海区,京商国际商贸城,新蚌埠路与淮海大道交汇处东南,117.338010,31.931454
060102,安徽省,合肥市,瑶海区,中绿商贸城,站前路中绿广场,117.321914,31.880982
060102,安徽省,合肥市,瑶海区,金诚百货(新蚌埠路),新蚌埠路与物流大道交汇处西北150米,117.313293,31.904531
060100,安徽省,合肥市,瑶海区,馥邦广场,铜陵北路与物流大道交口,117.328724,31.901956
060101,安徽省,合肥市,瑶海区,万欢购物广场,临泉东路与通达路交汇向北200米,117.369505,31.877871
060102,安徽省,合肥市,瑶海区,京商商贸城,三十头镇淮海大道北岗花园对面,117.349361,31.931964
060102,安徽省,合肥市,瑶海区,合肥胜利广场欢乐城,中环线临泉路与胜利路交汇处(胜利广场地下),117.312955,31.879717
060100,安徽省,合肥市,瑶海区,百大商业广场,磨店乡文忠大道与前江路的交汇处,117.377731,31.934089
060100,安徽省,合肥市,瑶海区,安徽新百百货,物流大道新站工业园e区18栋,117.303000,31.914430
060102|170200,安徽省,合肥市,瑶海区,商之都(合肥东城店),沿河路106号商之都行政楼,117.303430,31.864119
060101,安徽省,合肥市,瑶海区,左岸广场,铜陵路与滨河路交叉口,117.315658,31.848224
060102,安徽省,合肥市,瑶海区,利浩广场,龙门岭路与北二环路交叉口,117.323187,31.887634
060102,安徽省,合肥市,瑶海区,圣大国际商业广场营销中心,东二环,117.338824,31.846976
060102,安徽省,合肥市,瑶海区,白马休闲广场,站前路558号,117.312282,31.884581
060102,安徽省,合肥市,瑶海区,浙江商贸城,站前路1号,117.319669,31.88213
060101,安徽省,合肥市,瑶海区,紫鑫大河商业广场,长江东路478号附近,117.339344,31.868689
060101,安徽省,合肥市,瑶海区,沛盈新海购物广场,新海家园B区,117.355366,31.859645
060102,安徽省,合肥市,瑶海区,九龙珠儿童城,胜利路与站前路交叉口西南,117.31403,31.883485
060102,安徽省,合肥市,瑶海区,商之都(合肥东城店),长江东路1137号,117.302829,31.863889
060101,安徽省,合肥市,瑶海区,百味源购物广场,临泉东路静安瑞泰,117.373934,31.875794
060100,安徽省,合肥市,瑶海区,安徽白马商贸城,站前路9号,117.311119,31.885212
060102,安徽省,合肥市,瑶海区,元一时代广场,胜利路88号,117.307493,31.874767
060102,安徽省,合肥市,瑶海区,安徽白马服装城(安徽唯客大酒店南),站前路,117.312974,31.88401
060102,安徽省,合肥市,瑶海区,四季青女装城,站前路宝钻大厦373号,117.322560,31.878971
060100,安徽省,合肥市,瑶海区,嘉合生活广场,胜利路与明光路交叉口,117.306222,31.870979
060101|060400,安徽省,合肥市,瑶海区,合家福购物中心(三十头镇拆迁管理办公室东北),新蚌埠路天宝路路口附近,117.332324,31.987479
060101,安徽省,合肥市,瑶海区,满天星购物中心,临泉东路花溪龙庭2幢,117.383453,31.875827
120203|060102,安徽省,合肥市,瑶海区,CBC拓基广场,新站区文忠大道与前江路交口,117.378171,31.934092
060101,安徽省,合肥市,瑶海区,乐活购物中心,七里塘街道物流大道与武里山路交叉口,117.321528,31.902568
060102,安徽省,合肥市,瑶海区,中绿广场,站前路66号(火车站东300米),117.321268,31.881197
060300,安徽省,合肥市,瑶海区,澳柯玛(临泉路),安徽大市场二区354号,117.324885,31.876768
070601|060305,安徽省,合肥市,瑶海区,中国电信(临泉路营业厅),敬亭山路1号,117.315409,31.878316
060305,安徽省,合肥市,瑶海区,中国移动(一凡指定专营店),光明路与永红巷交叉口东北50米,117.380369,31.941105
060300,安徽省,合肥市,瑶海区,格力(合店路辅路),沁园11幢商-114号,117.379650,31.868700
060300,安徽省,合肥市,瑶海区,康佳电视,铜陵路与铜陵路高架桥出口交叉口东150米,117.324619,31.876850
060305,安徽省,合肥市,瑶海区,中国移动(双木站前路特许经营店),临泉路与站西路交叉口华府嘉园8号楼商铺,117.304634,31.881448
060301,安徽省,合肥市,瑶海区,海尔电器(华阳路店),胜利路街道华阳路凯旋大院北门13幢,117.314996,31.875366
070601|060305,安徽省,合肥市,瑶海区,中国电信(铜陵路营业厅),铜陵路178号2层,117.320730,31.856686
060305|070603,安徽省,合肥市,瑶海区,中国移动,临泉路惠园小区1-107号,117.305995,31.882233
060300,安徽省,合肥市,瑶海区,格力电器全国4S专卖店(经三路),实嘉原创生活21栋103号(近经三路),117.352065,31.886694
060306,安徽省,合肥市,瑶海区,龙腾电脑(合店路辅路),长江东路2号,117.370509,31.868049
060305|070603,安徽省,合肥市,瑶海区,中国移动(大通路),大通路40号(星海苑西南),117.316060,31.859206
060305|070601,安徽省,合肥市,瑶海区,中国电信(东七天翼手机卖场),七里站街道长江东路177号,117.358988,31.867922
060305,安徽省,合肥市,瑶海区,中国移动(华源特约店),华源生活广场2区E座107号附近,117.333947,31.854159
060301,安徽省,合肥市,瑶海区,名牌家电广场,合肥安徽大市场,117.323942,31.877286
060300,安徽省,合肥市,瑶海区,美的,站塘路站塘新村附近,117.339672,31.873428
070601|060305,安徽省,合肥市,瑶海区,中国电信(长江东路专营店),长江东路115号(长江东路与广德路交叉口东行60米路北),117.365052,31.868390
060300,安徽省,合肥市,瑶海区,格力(北一环路),濉溪路星海世纪广场4-105附近,117.292885,31.880265
060301,安徽省,合肥市,瑶海区,百大电器(临泉路店),临泉路3368号,117.333622,31.876761
060300,安徽省,合肥市,瑶海区,正泰电器(明光路),明光路271号,117.303014,31.871009
060301,安徽省,合肥市,瑶海区,国生电器(家电大世界店),长江东路商之都东城店3层,117.302742,31.863795
060305,安徽省,合肥市,瑶海区,中国移动(恒业专营店),南陵路与长江东路交叉口北50米,117.326231,31.867926
060304,安徽省,合肥市,瑶海区,苏宁易购(宝业东城广场店),长江东路504号宝业东城广场,117.337081,31.868977
060306,安徽省,合肥市,瑶海区,天天电脑(乐活购物中心东),武里山路乐活购物中心1层,117.321996,31.902863
060306|071200,安徽省,合肥市,瑶海区,鑫博电脑科技,临泉路376号,117.337886,31.876544
060301,安徽省,合肥市,瑶海区,豪威电器,临泉路东手边巷内,117.324425,31.877020
060300,安徽省,合肥市,瑶海区,双喜电器,铜陵路与铜陵路高架桥出口交叉口东150米,117.324870,31.877650
060300,安徽省,合肥市,瑶海区,新一代电器,铜陵路与铜陵路高架桥出口交叉口东150米,117.324700,31.876964
